experiment,job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,25,50,6.12,938.9,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,50,50,10.76,1723.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,100,50,20.16,3284.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,200,50,39.73,3634.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,500,50,98.54,3643.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000078498_00408.fasta,67,sample,True,1000,50,197.16,3651.7,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000139077_02576.fasta,50,warmup,False,1,50,2.79,228.6,ERROR: Invalid suffix '_unphysical.xtc'
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,warmup,False,1,50,2.46,241.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,10,50,3.04,469.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,25,50,5.2,846.1,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,50,50,9.03,1459.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,100,50,16.67,2682.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,200,50,32.45,3736.8,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,500,50,79.67,3744.4,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,sample,True,1000,50,157.33,3626.2,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,warmup,False,1,50,2.57,211.6,ok
numsamples,2671009,t0004,0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000189504_00958.fasta,91,sample,True,10,50,4.56,725.1,ok
