experiment,job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,warmup,False,1,50,9.42,298.1,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,10,50,21.08,1736.4,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,25,50,41.14,3321.4,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,50,50,66.74,3330.1,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,100,50,128.99,3337.1,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,200,50,237.25,3343.8,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,500,50,543.22,3352.9,ok
numsamples,2671010,t0030,1,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000083600_00853.fasta,155,sample,True,1000,50,958.48,3360.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,warmup,False,1,50,8.92,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,10,50,10.21,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,25,50,15.07,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,50,50,22.5,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,100,50,34.69,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,200,50,59.75,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,500,50,133.37,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000003606_00776.fasta,77,sample,True,1000,50,234.09,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,warmup,False,1,50,7.53,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,10,50,12.4,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,25,50,18.19,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,50,50,33.42,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,100,50,50.98,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,200,50,89.6,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,500,50,205.33,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000000389_02024.fasta,236,sample,True,1000,50,355.27,0.0,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,warmup,False,1,50,5.76,261.7,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,10,50,13.29,1378.7,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,25,50,28.02,3224.5,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,50,50,44.65,3477.6,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,100,50,88.7,3486.7,ok
numsamples,2671010,t0030,2,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000176001_00991.fasta,136,sample,True,200,50,180.34,3494.3,ok
